sample,category,count
B_LTX065_SU_T1-R3,5,0
B_LTX065_SU_T1-R3,6,1
B_LTX065_SU_T1-R3,7,0
B_LTX065_SU_T1-R3,8,0
B_LTX070_SU_T1-R1,1,0
B_LTX070_SU_T1-R1,2,30
B_LTX070_SU_T1-R1,3,54
B_LTX070_SU_T1-R1,4,6
B_LTX070_SU_T1-R1,5,6
B_LTX070_SU_T1-R1,6,0
B_LTX070_SU_T1-R1,7,2
B_LTX070_SU_T1-R1,8,1
B_LTX070_SU_T1-R2,1,42
B_LTX070_SU_T1-R2,2,41
B_LTX070_SU_T1-R2,3,50
B_LTX070_SU_T1-R2,4,10
B_LTX070_SU_T1-R2,5,3
B_LTX070_SU_T1-R2,6,0
B_LTX070_SU_T1-R2,7,0
B_LTX070_SU_T1-R2,8,1
B_LTX075_SU_T1-R1,1,1
B_LTX075_SU_T1-R1,2,1
B_LTX075_SU_T1-R1,3,20
B_LTX075_SU_T1-R1,4,2
B_LTX075_SU_T1-R1,5,0
B_LTX075_SU_T1-R1,6,0
B_LTX075_SU_T1-R1,7,0
B_LTX075_SU_T1-R1,8,0
B_LTX075_SU_T1-R2,1,0
B_LTX075_SU_T1-R2,2,1
B_LTX075_SU_T1-R2,3,18
B_LTX075_SU_T1-R2,4,0
B_LTX075_SU_T1-R2,5,2
B_LTX075_SU_T1-R2,6,0
B_LTX075_SU_T1-R2,7,0
B_LTX075_SU_T1-R2,8,0
B_LTX083_SU_T1-R1,1,1
B_LTX083_SU_T1-R1,2,15
B_LTX083_SU_T1-R1,3,53
B_LTX083_SU_T1-R1,4,14
B_LTX083_SU_T1-R1,5,7
B_LTX083_SU_T1-R1,6,2
B_LTX083_SU_T1-R1,7,3
B_LTX083_SU_T1-R1,8,1
B_LTX083_SU_T1-R2,1,3
B_LTX083_SU_T1-R2,2,21
B_LTX083_SU_T1-R2,3,19
B_LTX083_SU_T1-R2,4,3
B_LTX083_SU_T1-R2,5,2
B_LTX083_SU_T1-R2,6,3
B_LTX083_SU_T1-R2,7,0
B_LTX083_SU_T1-R2,8,3
B_LTX084_SU_T1-R1,1,2
B_LTX084_SU_T1-R1,2,32
B_LTX084_SU_T1-R1,3,9
B_LTX084_SU_T1-R1,4,2
B_LTX084_SU_T1-R1,5,2
B_LTX084_SU_T1-R1,6,0
B_LTX084_SU_T1-R1,7,0
B_LTX084_SU_T1-R1,8,0
B_LTX084_SU_T1-R2,1,2
B_LTX084_SU_T1-R2,2,42
B_LTX084_SU_T1-R2,3,8
B_LTX084_SU_T1-R2,4,1
B_LTX084_SU_T1-R2,5,0
B_LTX084_SU_T1-R2,6,0
B_LTX084_SU_T1-R2,7,0
B_LTX084_SU_T1-R2,8,0
B_LTX094_SU_T1-R1,1,0
B_LTX094_SU_T1-R1,2,1
B_LTX094_SU_T1-R1,3,0
B_LTX094_SU_T1-R1,4,0
B_LTX094_SU_T1-R1,5,0
B_LTX094_SU_T1-R1,6,0
B_LTX094_SU_T1-R1,7,0
B_LTX094_SU_T1-R1,8,0
B_LTX094_SU_T1-R3,1,3
B_LTX094_SU_T1-R3,2,7
B_LTX094_SU_T1-R3,3,4
B_LTX094_SU_T1-R3,4,0
B_LTX094_SU_T1-R3,5,0
B_LTX094_SU_T1-R3,6,0
B_LTX094_SU_T1-R3,7,0
B_LTX094_SU_T1-R3,8,0
B_LTX099_SU_T1-R1,1,1
B_LTX099_SU_T1-R1,2,11
B_LTX099_SU_T1-R1,3,7
B_LTX099_SU_T1-R1,4,0
B_LTX099_SU_T1-R1,5,0
B_LTX099_SU_T1-R1,6,0
B_LTX099_SU_T1-R1,7,0
B_LTX099_SU_T1-R1,8,5
B_LTX099_SU_T1-R2,1,0
B_LTX099_SU_T1-R2,2,0
B_LTX099_SU_T1-R2,3,3
B_LTX099_SU_T1-R2,4,2
B_LTX099_SU_T1-R2,5,0
B_LTX099_SU_T1-R2,6,0
B_LTX099_SU_T1-R2,7,0
B_LTX099_SU_T1-R2,8,0
B_LTX100_SU_T1-R1,1,1
B_LTX100_SU_T1-R1,2,2
B_LTX100_SU_T1-R1,3,8
B_LTX100_SU_T1-R1,4,2
B_LTX100_SU_T1-R1,5,0
B_LTX100_SU_T1-R1,6,3
B_LTX100_SU_T1-R1,7,0
B_LTX100_SU_T1-R1,8,6
B_LTX100_SU_T1-R2,1,3
B_LTX100_SU_T1-R2,2,8
B_LTX100_SU_T1-R2,3,14
B_LTX100_SU_T1-R2,4,4
B_LTX100_SU_T1-R2,5,1
B_LTX100_SU_T1-R2,6,2
B_LTX100_SU_T1-R2,7,0
B_LTX100_SU_T1-R2,8,8
B_LTX108_SU_T1-R1,1,3
B_LTX108_SU_T1-R1,2,19
B_LTX108_SU_T1-R1,3,11
B_LTX108_SU_T1-R1,4,2
B_LTX108_SU_T1-R1,5,0
B_LTX108_SU_T1-R1,6,0
B_LTX108_SU_T1-R1,7,0
B_LTX108_SU_T1-R1,8,0
B_LTX108_SU_T1-R2,1,4
B_LTX108_SU_T1-R2,2,12
B_LTX108_SU_T1-R2,3,9
B_LTX108_SU_T1-R2,4,0
